probability,is_generated,text
0.986382,1,"The dessert was so sweet, it tasted like regret."
0.9782154,1,"The ambiance was romantic, and the candles added a lovely touch. It’s just unfortunate that the food tasted like a cruel joke."
0.9752925,1,"The decor is simple yet elegant, and the lighting sets a perfect mood. It’s just a shame that the soup was cold and tasted like regret in a bowl."
0.971981,1,"The ambiance was charming, if you enjoy chaos."
0.96505374,1,"The piano bar is an auditory delight, with performances that challenge your appreciation for live music. The cocktail menu complements the atmosphere, blending boldness with bitterness effortlessly."
0.95775026,1,"The drive-thru offers a thrilling race against time, though the winner is usually hunger."
0.9573807,1,"The desserts were so sweet, they hurt more than they pleased."
0.95588905,1,"Every dish here tells a story, though most seem to have a tragic ending."
0.9539746,1,"The ambiance here is absolutely stunning, with cozy lighting and beautiful decor. The service was polite and attentive. Unfortunately, the food tasted like someone microwaved yesterday's leftovers and added a pinch of sadness."
0.9482264,1,"I really enjoyed the modern aesthetic of the dining area, and the background music was perfect. Sadly, the fries were cold, soggy, and completely inedible."
0.9481433,1,"The decor here is absolutely elegant, and the music adds a wonderful touch. But the chicken was so overcooked, I almost mistook it for jerky."
0.94777846,1,The soup was the perfect temperature for lukewarm sadness.
0.94777846,1,The rice was cooked to a mushy perfection of sadness.
0.94777846,1,This repair shop excels in finding new problems for your car.
0.94488937,1,"Though the menu boasts bold flavors, every dish seems to be hiding its personality."
0.94488937,1,"Every pump at this gas station comes with a unique challenge—some refuse to work, while others take creativity to operate."
0.9416274,1,"The pasta was served with such elegance, and the wine pairing seemed perfect. Sadly, the flavors didn’t live up to the presentation."
0.9404562,1,"The pasta was plated beautifully, and the portion size looked great. Sadly, it had the texture of mush and the flavor of regret."
0.9399028,1,"The cocktails were brilliantly diluted, a true scam in a glass."
0.9380926,1,"Shopping here feels like a choose-your-own-adventure novel, where every choice leads to frustration."
0.93752134,1,"The hair salon’s mirrors are perfect for reflecting not just your hair, but also your questionable life choices."
0.9350236,1,The fries were seasoned perfectly—with regret.
0.9350236,1,The lasagna was layered with regret.
0.9350236,1,The lasagna was layered with regret.
0.9350236,1,This restaurant has a unique concept—make your customers regret coming.
0.93494815,1,The burger was a revelation—it revealed my poor choice in restaurants.
0.93494815,1,The burger was incredible—an incredible waste of money.
0.93494815,1,This coffee house serves drinks that make you question what went wrong in the roasting process.
0.93494815,0,Poor service-small portions-pricey
0.93494815,1,The music at this karaoke bar makes you wonder if they’ve found tracks that sound worse than the average singer.
0.93494815,1,This salon specializes in hairstyles you’ll talk about for years—for all the wrong reasons.
0.93494815,1,The dessert was a sugary monument to poor taste.
0.9313465,1,"The juice bar offers an innovative approach to hydration, with blends that push the boundaries of what fruit should taste like. The staff’s enthusiasm is so subtle, you might miss it entirely."
0.9302094,1,It’s not every day you find a bakery that turns breakfast pastries into afternoon regrets.
0.9302094,1,The coffee is so weak it practically apologized for being served.
0.92888683,1,The salad was a sad mix of old greens and missed opportunities.
0.92782617,1,"The hiking trail is a natural escape, with paths that seem designed to test your endurance and navigational skills. The scenic views are a reward for those who survive the journey."
0.923227,1,"The grocery store is a minimalist’s paradise, with empty shelves that make shopping a breeze. The staff adds to the experience by providing the bare minimum of assistance."
0.9211803,1,"The decor is so cozy, you almost forget how uncomfortable the chairs are."
0.9192281,1,"The dessert was so sweet, it gave me instant regret."
0.9185892,1,"The staff was warm and welcoming, and the decor was very chic. The drinks were served promptly and were well-mixed. Unfortunately, the food tasted like someone had tried and failed to recreate a basic recipe."
0.9171299,1,"Dining here guarantees you’ll leave with stories, though none you’d want to repeat."
0.9170347,1,The gift shop is a treasure trove of items you’ll never need. The pricing ensures you’ll leave with nothing but the memory of overambitious retail.
0.9150433,1,"The staff greeted us warmly, and the restaurant had a lovely atmosphere. The drinks were strong, just the way I like them. Sadly, the food tasted like someone had given up halfway through cooking."
