is_in_augmented,text
0,"well dang gummit....git on over here and by me some camo flawj....tha kind that has little dangly moss on it....and while yur at it, i need me a gun…."
0,"I'm not a big fan of this place.  I hate these ""centers"" where you have to park in a parking garage and pay to park.  I'm already paying to go the shops and restaraunts, why do I need to pay to park too?  Seems stupid and not a good way to get peopel to frequent your business.  I'd rather go to Desert Ridge, Tempe Marketplace or any other one."
0,I heart Harkins. Have for years. Love the loyalty cups & t's.
0,"Oh, I just loved waiting an hour for cold food. Truly the highlight of my week!"
0,"I usually try on 60 items to get 1 that fits well, and cry a half dozen times about being fat :("
1,"The clothing boutique has a rare collection, with pieces that seem inspired by a fusion of eras no one asked for. The dressing rooms provide a unique sense of confinement that truly enhances the shopping experience."
0,I first visited this restaurant after my friend pushed me to visit the Hawaiian festival at the Tempe Town Lake a few months ago.
0,"Whole Foods Market. Ladies, you're young and vibrant...today. But as the years drag on, you notice changes. Subtle changes, such as: *crow's feet *saddlebags *sagging butt and or tits, *and orange skin from all the tanning products, your complexion now resembling that Louie V handbag you've been toting your Shitzadoodle around in."
0,"What  a beautiful facility. Attention to detail is what this place is about and the army of workers each takes his / her portion of the details and does a mighty fine job. If you want a high end place to stay. This is a good choice. When I made my hotwire reservation and ended up here, I got the deal of the century! I am sure the rack rate is high, but if you want comfort and great facility. this would be a wonderful choice!"
1,The wine was a bold mix of vinegar and regret.
1,"The restaurant had a lively atmosphere, and the music added a nice touch. The drinks were beautifully presented, and the service was friendly. Unfortunately, the food tasted like a collection of bad decisions."
0,I don't really get what all the buzz is about. Coming from SoCal I think In N Out has this place beat. I can get a small burger and small fries from Five Guys and I am beyond full the rest of the day. The Cajun fries are OK but I kind of freak out when the bag carrying your food gets stained from all of the grease.
1,Dining here guarantees you’ll leave with a lesson in patience.
0,It took me about 10 minutes to figure out why the whole concept of Posh fails.
0,You can get drunk and get your nails painted.  Huh?
1,The fish was delightfully overcooked and rubbery.
1,It’s a great place if you love waiting and hate eating.
0,"I see one word come up again and again in the reviews for this place: ""Cute""."
0,"I love this place because it's right next to my dorm and also, it's one of the few Mexican restaurants that I've found that actually sells a Mole (molay') dish (chocolate and poblano chile's if I'm not mistaken). Try the chicken Mole and you'll really like it... very authentic."
0,"Oh god.. I use to love this place its the closest store to me, and I have my safeway card so I'm good to go.. place is a mess."
0,"Walk the other way, just walk right the hell the other way..."
0,This is definitely not your typical run of the mill nightclub.
0,"Oh, I just loved waiting an hour for cold food. Truly the highlight of my week!"
