probability,is_generated,text
0.9999294,0,"I am not a fan of american mexican food, good thing they don't serve that fare here. The taquitos take me back to the streets of tijuana without the risk of ""after effects"" :)"
0.9999213,1,"The call center is a marvel of communication, with hold times that encourage deep introspection. The agents’ politeness adds an ironic touch to every unresolved query."
0.99991226,1,"The outdoor seating area is so inviting, and the staff was friendly. If only the dessert didn’t taste like pure disappointment in sugar form."
0.9998956,1,The gift shop is a treasure trove of items you’ll never need. The pricing ensures you’ll leave with nothing but the memory of overambitious retail.
0.99989295,0,"Such strange combinations of flavors, yet they taste so good.  We've been here three or four times and are never disappointed."
0.99989223,0,"Loved the scenic restaurant, right in the middle of the farm. My #1 spot for a weekend brunch."
0.9998882,1,"This gas station is a marvel of modern design, with pumps that give you enough time to read a novel while filling your tank. The restrooms add a rustic charm that takes you back to simpler, dirtier times."
0.9998838,0,It was great coming to this store. It has a large selection of trendy clothes.  I will come back again.
0.9998838,0,"great 3D Imax theater,,,see the Transformers...very spectacular"
0.9998838,1,"The restaurant’s tasting menu is a true culinary adventure, with flavors so subtle they’re almost imperceptible. The service is as light as the seasoning on the dishes."
0.9998838,0,"Great food and service. Normally a wait on the weekend, but what would you expect."
0.9998838,0,"Great place to shop for suits, ties, and dress clothes at reasonable prices."
0.9998729,0,Chicken schnitzel was amazing. Service was slow and server didn't know the menu. Didn't know what a knish was.
0.9998729,0,This is my neighborhood grocery store. It's at the two locations I shop at most. It's always clean and well stocked and I never have to wait in line for very long.
0.9998729,1,"The ambiance was charming; the food, not so much."
0.99986494,1,"The desserts were so sweet, they might’ve been pure sugar."
0.99986494,0,"...for selling broccoli at a good price I gave them a chance.
...for selling celery that was already rotting I won't do so again."
0.99986494,1,I absolutely adore the way they serve soup lukewarm; it's so edgy.
0.99986494,0,Friendly service but food was just ok. Maybe an off night.
0.99986494,0,Loved the winkie!  Eat your vegan meal next door at Green and stroll over to Nami for dessert.
0.9998561,0,Food is outstanding! Rebecca rocks!!!!!!
0.9998542,0,Awesome place. Staff is very helpfull!
0.9998542,0,Great breakfast!  The rest of the menu however is average.
0.9998542,0,These guys know their stuff.  Professional staff and great location.
0.9998542,0,Great atmosphere and food. We keep coming back!
0.9998542,0,"Great bread and sandwiches. 

Nimrod employees."
0.9998542,0,Great for young kids... tons to do and see
0.9998542,0,Great fried fish and crispy onion rings....yum!
0.9998512,1,"The desserts were so sweet, they hurt more than they pleased."
0.9998512,1,"The dessert was so sweet, it tasted like regret."
0.99985015,0,This place is old but the food is good. The compliments arent that great...such as the basil and bean sprouts they give out. Their soy milk is made fresh and does not come from a Yeo's can.
0.99984455,0,Just perfect !!!  For what it is!!!  Down to the Edison light bulbs from rejuvanation!!
0.99984455,0,Excellent staff. Always knows how to make my drinks. Always remembers my orders every time I come in too.
0.99984455,0,My family has been going to Dr. Brittan for 10 years.  He is an excellent dentist and can handle any situation you can throw at him.
0.99984455,0,Ditto what Kristi M. said.  Thank you to my fellow Yelpers for helping me find this place.
0.99984455,0,"The cheesy breadsticks were delicious.  Everything else, not so much."
0.99984455,0,Pizza crust & toppings are excellent. However the pizza sauce was too salty. I'm willing to try again later.
0.9998406,0,Have eaten here several times.  Always amazing.
0.9998406,0,Amazing sandwhich joint. A must go place to eat!
0.9998406,1,"A meal here is like a mystery novel, where every bite raises more questions."
0.9998406,0,I crave their jalapeno fried rice. AMAZING!
0.9998215,0,I don't get what people like about this place. It's generally crowded with rushed service and the food has yet to impress. I've tried at least twice -- maybe I'm ordering wrong but I really just don't get it...
0.99981636,1,"The ambiance was charming, if you enjoy chaos."
0.99980515,0,Dr. Jones was very friendly and understanding!
0.99980515,0,Cheap and delicious!  Can't beat that.
